ASSET_TYPE,COLUMN_SEQ,COLUMN_NAME,COLUMN_DATATYPE,COLUMN_DERIVATION
AL,1,AUXLANE,,AUXLANE
AL,2,AUXLNWID,,AUXLNWID
AL,3,AUXSURF,,AUXSURF
FS,1,URBAREA,,URBAREA
FS,2,STATUS,,STATUS
FS,3,FC,,FC
FS,4,NHS,,NHS
LN,1,LANEWID,,LANEWID
LN,2,LANES,,LANES
LN,3,LANESCRD,,LANESCRD
LN,4,LANESNC,,LANESNC
RA,1,SAFEINDX,,SAFEINDX
RA,2,SERVINDX,,SERVINDX
RA,3,COMPINDX,,COMPINDX
RA,4,PERCENTILE,,PERCENTILE
RW,1,ROW_WIDTH,,ROW_WIDTH
SH,1,SHLDTYPE,,SHLDTYPE
SH,2,SHLDWID,,SHLDWID
SL,1,SPEEDLIM,,SPEEDLIM
SL,2,OONUMBER,,OONUMBER
SS,1,STHWYSYS,,STHWYSYS
TF,1,LASTCNT,,LASTCNT
TF,2,LASTCNTYR,,LASTCNTYR
TF,3,ADTSINGLE,,ADTSINGLE
TF,4,ADTCOMBO,,ADTCOMBO
TF,5,PCSINGOP,,PCSINGOP
TF,6,PCCOMBOP,,PCCOMBOP
TF,7,PCSINGPK,,PCSINGPK
TF,8,PCCOMBPK,,PCCOMBPK
